ides,idmun,time,tmax,tmin
5,18,2023-04-13 12:00:00,29.284999999999997,17.18
5,18,2023-04-14 12:00:00,31.784999999999997,20.32
5,18,2023-04-15 12:00:00,32.974999999999994,19.805
5,19,2023-04-12 12:00:00,27.87,15.49
5,19,2023-04-13 12:00:00,28.83,16.545
5,19,2023-04-14 12:00:00,31.449999999999996,18.745
5,19,2023-04-15 12:00:00,33.22,18.05
5,20,2023-04-12 12:00:00,25.64,12.83
5,20,2023-04-13 12:00:00,26.715,14.36
5,20,2023-04-14 12:00:00,28.81,16.470000000000002
5,20,2023-04-15 12:00:00,29.424999999999997,15.690000000000001
5,21,2023-04-12 12:00:00,28.12,14.72
5,21,2023-04-13 12:00:00,29.265,16.035
5,21,2023-04-14 12:00:00,32.085,18.310000000000002
5,21,2023-04-15 12:00:00,33.455,18.275
5,22,2023-04-12 12:00:00,28.8,14.99
5,22,2023-04-13 12:00:00,29.955,15.805
5,22,2023-04-14 12:00:00,32.64,18.66
5,22,2023-04-15 12:00:00,34.58,19.395000000000003
5,23,2023-04-12 12:00:00,27.25,13.8
5,23,2023-04-13 12:00:00,28.475,14.855
5,23,2023-04-14 12:00:00,29.015,15.58
5,23,2023-04-15 12:00:00,27.665,15.375
5,24,2023-04-12 12:00:00,27.67,14.16
5,24,2023-04-13 12:00:00,28.935000000000002,15.515
5,24,2023-04-14 12:00:00,29.049999999999997,16.23
5,24,2023-04-15 12:00:00,28.439999999999998,15.535
5,25,2023-04-12 12:00:00,29.42,14.31
5,25,2023-04-13 12:00:00,30.545,15.240000000000002
5,25,2023-04-14 12:00:00,33.260000000000005,18.335
5,25,2023-04-15 12:00:00,35.120000000000005,19.009999999999998
5,26,2023-04-12 12:00:00,28.13,16.09
5,26,2023-04-13 12:00:00,29.465,17.509999999999998
5,26,2023-04-14 12:00:00,32.355,20.3
5,26,2023-04-15 12:00:00,34.099999999999994,20.18
5,27,2023-04-12 12:00:00,25.91,13.86
5,27,2023-04-13 12:00:00,27.23,15.69
5,27,2023-04-14 12:00:00,29.165,17.73
5,27,2023-04-15 12:00:00,29.82,17.755000000000003
5,28,2023-04-12 12:00:00,28.21,15.44
5,28,2023-04-13 12:00:00,29.34,16.675
5,28,2023-04-14 12:00:00,32.045,19.215
5,28,2023-04-15 12:00:00,34.019999999999996,19.189999999999998
5,29,2023-04-12 12:00:00,27.12,15.87
5,29,2023-04-13 12:00:00,28.310000000000002,16.915
5,29,2023-04-14 12:00:00,31.004999999999995,18.52
5,29,2023-04-15 12:00:00,32.41499999999999,18.415
5,30,2023-04-12 12:00:00,22.7,11.92
5,30,2023-04-13 12:00:00,24.295,12.870000000000001
5,30,2023-04-14 12:00:00,25.115000000000002,14.42
5,30,2023-04-15 12:00:00,23.8,14.125
5,31,2023-04-12 12:00:00,26.07,12.88
5,31,2023-04-13 12:00:00,27.415,14.469999999999999
5,31,2023-04-14 12:00:00,29.425,16.195
5,31,2023-04-15 12:00:00,29.705,15.420000000000002
5,32,2023-04-12 12:00:00,28.9,14.97
5,32,2023-04-13 12:00:00,30.009999999999998,16.240000000000002
5,32,2023-04-14 12:00:00,32.315,18.76
5,32,2023-04-15 12:00:00,34.2,18.655
5,33,2023-04-12 12:00:00,29.62,14.81
5,33,2023-04-13 12:00:00,30.615000000000002,16.76
5,33,2023-04-14 12:00:00,30.645,17.04
5,33,2023-04-15 12:00:00,30.35,15.919999999999998
5,34,2023-04-12 12:00:00,27.82,16.2
5,34,2023-04-13 12:00:00,29.245,16.715
5,34,2023-04-14 12:00:00,29.695,15.32
5,34,2023-04-15 12:00:00,28.17,14.175
5,35,2023-04-12 12:00:00,28.29,16.49
5,35,2023-04-13 12:00:00,28.985,17.115
5,35,2023-04-14 12:00:00,29.145,16.715
5,35,2023-04-15 12:00:00,28.42,15.815
5,36,2023-04-12 12:00:00,29.36,14.28
5,36,2023-04-13 12:00:00,30.545,15.45
5,36,2023-04-14 12:00:00,30.505000000000003,16.09
5,36,2023-04-15 12:00:00,29.79,15.270000000000003
5,37,2023-04-12 12:00:00,27.1,15.47
5,37,2023-04-13 12:00:00,28.125,16.79
5,37,2023-04-14 12:00:00,31.185,19.155
5,37,2023-04-15 12:00:00,33.335,18.674999999999997
5,38,2023-04-12 12:00:00,27.49,14.69
5,38,2023-04-13 12:00:00,28.58,16.02
5,38,2023-04-14 12:00:00,31.310000000000002,18.435000000000002
5,38,2023-04-15 12:00:00,32.485,17.23
6,1,2023-04-12 12:00:00,29.97,18.82
6,1,2023-04-13 12:00:00,30.165,18.535
6,1,2023-04-14 12:00:00,30.39,18.68
6,1,2023-04-15 12:00:00,30.89,19.555
6,2,2023-04-12 12:00:00,33.86,17.37
6,2,2023-04-13 12:00:00,33.94,16.93
