ides,idmun,time,tmax,tmin
5.0,12.0,2023-04-13 12:00:00,29.07,16.25
5.0,12.0,2023-04-14 12:00:00,31.895000000000003,18.55
5.0,12.0,2023-04-15 12:00:00,34.155,19.675
5.0,13.0,2023-04-12 12:00:00,27.69,16.43
5.0,13.0,2023-04-13 12:00:00,28.91,16.575
5.0,13.0,2023-04-14 12:00:00,31.525,18.715
5.0,13.0,2023-04-15 12:00:00,34.010000000000005,19.915
5.0,14.0,2023-04-12 12:00:00,29.31,13.83
5.0,14.0,2023-04-13 12:00:00,30.315,14.775
5.0,14.0,2023-04-14 12:00:00,33.015,17.725
5.0,14.0,2023-04-15 12:00:00,34.645,18.37
5.0,15.0,2023-04-12 12:00:00,27.39,15.95
5.0,15.0,2023-04-13 12:00:00,28.325000000000006,17.305
5.0,15.0,2023-04-14 12:00:00,30.88000000000001,19.96
5.0,15.0,2023-04-15 12:00:00,33.22,19.895000000000003
5.0,16.0,2023-04-12 12:00:00,27.93,13.86
5.0,16.0,2023-04-13 12:00:00,29.205,15.145
5.0,16.0,2023-04-14 12:00:00,31.44,16.869999999999994
5.0,16.0,2023-04-15 12:00:00,32.14,16.775
5.0,17.0,2023-04-12 12:00:00,29.53,16.46
5.0,17.0,2023-04-13 12:00:00,30.555,17.955
5.0,17.0,2023-04-14 12:00:00,30.8,17.665
5.0,17.0,2023-04-15 12:00:00,30.23,16.630000000000006
5.0,18.0,2023-04-12 12:00:00,28.08,15.76
5.0,18.0,2023-04-13 12:00:00,29.285,17.18
5.0,18.0,2023-04-14 12:00:00,31.785,20.32
5.0,18.0,2023-04-15 12:00:00,32.974999999999994,19.805
5.0,19.0,2023-04-12 12:00:00,27.87,15.49
5.0,19.0,2023-04-13 12:00:00,28.83,16.545
5.0,19.0,2023-04-14 12:00:00,31.45,18.745
5.0,19.0,2023-04-15 12:00:00,33.22,18.05
5.0,20.0,2023-04-12 12:00:00,25.64,12.83
5.0,20.0,2023-04-13 12:00:00,26.715,14.36
5.0,20.0,2023-04-14 12:00:00,28.81,16.470000000000002
5.0,20.0,2023-04-15 12:00:00,29.425,15.69
5.0,21.0,2023-04-12 12:00:00,28.12,14.72
5.0,21.0,2023-04-13 12:00:00,29.265,16.035
5.0,21.0,2023-04-14 12:00:00,32.085,18.31
5.0,21.0,2023-04-15 12:00:00,33.455,18.275
5.0,22.0,2023-04-12 12:00:00,28.8,14.99
5.0,22.0,2023-04-13 12:00:00,29.955,15.805
5.0,22.0,2023-04-14 12:00:00,32.64,18.66
5.0,22.0,2023-04-15 12:00:00,34.58,19.395000000000003
5.0,23.0,2023-04-12 12:00:00,27.25,13.8
5.0,23.0,2023-04-13 12:00:00,28.475,14.855
