cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien
39.32,Medio nublado,6,Sur,184.4,20230414T12,20,157,17.1008,-96.7626,2,Oaxaca,San Jacinto Amilpas,2.25,95.0,19.67,29.77,16.43,6.16
52.04,Cielo nublado,6,Sur,166.07,20230415T12,20,157,17.1008,-96.7626,3,Oaxaca,San Jacinto Amilpas,2.36,95.0,16.6,29.36,15.8,6.6
70.32,Cielo nublado,6,Sur,196.86,20230412T12,20,174,16.9889,-96.7132,0,Oaxaca,Ánimas Trujano,5.87,95.0,19.12,27.81,14.38,6.14
56.02,Cielo nublado,6,Suroeste,217.99,20230413T12,20,174,16.9889,-96.7132,1,Oaxaca,Ánimas Trujano,4.7,95.0,21.3,27.35,15.5,7.28
34.24,Medio nublado,6,Sur,196.77,20230414T12,20,174,16.9889,-96.7132,2,Oaxaca,Ánimas Trujano,2.71,95.0,19.78,29.92,17.05,6.39
48.08,Medio nublado,6,Sur,177.72,20230415T12,20,174,16.9889,-96.7132,3,Oaxaca,Ánimas Trujano,2.06,95.0,17.64,29.96,16.54,6.93
64.11,Cielo nublado,6,Sur,177.24,20230412T12,20,192,16.8285,-96.672,0,Oaxaca,San Juan Chilateca,10.93,95.0,15.02,28.13,15.34,5.66
55.92,Cielo nublado,6,Suroeste,209.51,20230413T12,20,192,16.8285,-96.672,1,Oaxaca,San Juan Chilateca,6.01,95.0,16.75,28.06,16.28,7.09
25.1,Medio nublado,6,Sur,201.04,20230414T12,20,192,16.8285,-96.672,2,Oaxaca,San Juan Chilateca,3.66,95.0,18.17,30.72,17.84,6.06
39.82,Medio nublado,6,Sur,197.98,20230415T12,20,192,16.8285,-96.672,3,Oaxaca,San Juan Chilateca,1.87,95.0,18.9,30.73,17.36,6.89
81.08,Cielo cubierto,6,Este,87.73,20230412T12,20,216,17.305,-96.207,0,Oaxaca,San Juan Tabaá,4.56,95.0,10.22,20.3,13.84,4.59
