Cve_Ent,Cve_Mun,Value,tmax,tmin
7,15,846,23.915,17.560000000000002
7,15,846,24.395,17.735
7,16,105,28.71,19.57
7,16,105,31.240000000000002,20.275
7,16,105,36.185,22.005000000000003
7,16,105,38.245000000000005,23.15
7,17,984,31.61,19.4
7,17,984,33.4,20.215
7,17,984,35.51,21.1
7,17,984,36.125,21.455
7,18,788,25.98,16.84
7,18,788,28.564999999999998,17.95
7,18,788,31.904999999999994,19.0
7,18,788,32.91499999999999,19.285
7,19,30,23.27,12.8
7,19,30,24.655,13.625
7,19,30,27.115000000000002,14.6
7,19,30,28.47,15.215
7,20,345,26.2,14.19
7,20,345,27.07,14.955
7,20,345,28.62,16.205000000000002
7,20,345,29.925,17.3
7,21,174,25.93,16.66
7,21,174,28.97,17.83
7,21,174,33.379999999999995,18.89
7,21,174,35.075,19.145000000000003
7,22,114,21.79,11.7
7,22,114,24.225,12.53
7,22,114,27.67,13.815
7,22,114,29.05,14.84
7,23,728,20.82,12.04
7,23,728,23.34,12.7
7,23,728,26.369999999999997,13.605
7,23,728,27.295,14.21
7,24,90,21.88,11.41
7,24,90,24.035,12.08
7,24,90,26.97,13.04
7,24,90,28.185000000000002,13.665
7,25,251,24.22,16.43
7,25,251,26.729999999999997,17.57
7,25,251,30.9,18.955
7,25,251,32.83,19.365000000000002
7,26,598,20.75,10.76
7,26,598,23.085,11.585
7,26,598,26.41,12.875
7,26,598,27.755,13.93
7,27,184,31.96,18.09
7,27,184,33.769999999999996,19.384999999999998
7,27,184,36.125,20.740000000000002
7,27,184,36.695,21.27
7,28,571,29.22,17.51
7,28,571,30.479999999999997,18.62
7,28,571,33.1,20.29
7,28,571,34.56,21.525
7,29,708,26.59,15.86
7,29,708,29.6,17.119999999999997
7,29,708,33.04,18.235
7,29,708,33.92,18.61
7,30,258,27.53,14.77
7,30,258,27.875,15.344999999999999
7,30,258,28.945,16.314999999999998
7,30,258,30.005000000000003,17.095
7,31,365,26.03,15.28
7,31,365,28.009999999999998,15.89
